[2018/1/2 - 1:38:14] AdmCmd: Yaozu Chaos(1000010275) (IP:80.193.148.55) was kicked by Jerome Mcwill, reason: Non RP Behavior
[2018/1/2 - 4:05:09] AdmCmd: Nikolay Morozov(1000624869) (IP:109.189.175.163) was silent kicked by Jerome Mcwill, reason: spamming
[2018/1/2 - 4:31:10] AdmCmd: Aaron Toretto(1000625082) (IP:41.224.146.34) was kicked by Lexy Kanon, reason: Boat ramming
[2018/1/2 - 4:46:21] AdmCmd: Trisha Equinox(1000475200) (IP:120.29.117.189) was kicked by Spencer Jameson, reason: Random punching
[2018/1/2 - 4:57:53] AdmCmd: Jaybee Sambal Nucup.(1000625145) (IP:112.201.49.161) was kicked by Jerome Mcwill, reason: spamming
[2018/1/2 - 7:13:26] AdmCmd: Alonso Bishop(1000208369) (IP:103.61.253.254) was kicked by Jack Chaos, reason: Dsync
[2018/1/2 - 7:21:28] AdmCmd: Kevin Flowers(1000625041) (IP:173.170.66.12) was kicked by Jack Chaos, reason: DM - Warning
[2018/1/2 - 9:30:05] AdmCmd: John Quintos(1000625228) (IP:112.206.119.92) was silent kicked by Jerome Mcwill, reason: Exploiting
[2018/1/2 - 10:57:52] AdmCmd: Lamar Clark(1000625088) (IP:112.200.96.193) was silent kicked by Jerome Mcwill, reason: Boat Ramming
[2018/1/2 - 11:41:17] AdmCmd: Agapito D Hampaslupa(1000625119) (IP:122.2.241.238) was kicked by Jizzy Rivers, reason: car ramming/ non rp beh (warn)
[2018/1/2 - 13:27:51] AdmCmd: Richard Nelson(1000549753) (IP:41.97.145.226) was kicked by Clark Smith, reason: Metagaming
[2018/1/2 - 13:38:51] AdmCmd: Shakira Speed(1000427529) (IP:156.210.75.250) was kicked by Liam Crawford, reason: Car Ramming
[2018/1/2 - 14:03:02] AdmCmd: Mahid Macaagal(1000625267) (IP:112.206.119.92) was kicked by Liam Crawford, reason: Cop Baiting
[2018/1/2 - 15:03:28] AdmCmd: Jamie Nelson(1000502087) (IP:39.51.33.229) was kicked by Samantha Rivera, reason: Fishing on land
[2018/1/2 - 15:10:05] AdmCmd: Buju Banton(99857) (IP:2.222.131.113) was kicked by Daro Freeman, reason: test
[2018/1/2 - 15:12:29] AdmCmd: Gunther Von Wolfe(1000063405) (IP:78.63.137.229) was kicked by Martin Powers, reason: .
[2018/1/2 - 15:13:59] AdmCmd: James Mayer(1000625303) (IP:172.111.254.37) was kicked by Nicole Trey, reason: Metagaming (Read /rules)
[2018/1/2 - 15:15:51] AdmCmd: Mahid Macaagal(1000625267) (IP:112.206.119.92) was kicked by Nicole Trey, reason: DM (Read /rules)
[2018/1/2 - 15:42:11] AdmCmd: Daruis Lorenzo(1000625310) (IP:46.0.80.71) was kicked by Darius Devil, reason: Desynced
[2018/1/2 - 16:04:42] AdmCmd: Liam Crawford(1000310515) (IP:77.170.164.24) was kicked by Samantha Rivera, reason: desynced
[2018/1/2 - 16:15:54] AdmCmd: Shen Blevis(1000516198) (IP:49.150.38.176) was kicked by Roy Gucci Cobra, reason: Bugged
[2018/1/2 - 16:17:08] AdmCmd: Nick Chains(1000624826) (IP:85.74.21.181) was kicked by Arturo Dios Waters, reason: Bugged
[2018/1/2 - 16:56:13] AdmCmd: Trent Wolf(1000625066) (IP:173.172.152.108) was silent kicked by Keith Lawrence, reason: bugged
